"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-048924428-001",2024,10,31,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,JOAQUIM PEDROSA,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-31"
"2024-048917805-001",2024,10,31,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-31"
"2024-048873738-001",2024,10,30,"15 RPM","19 BPM","232 CIA PM",PM,POTE,SOFIA COLEN,FURTO,1.0,SOLICITANTE,0,0,0,"2024-10-30"
"2024-048873738-001",2024,10,30,"15 RPM","19 BPM","232 CIA PM",PM,POTE,SOFIA COLEN,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-30"
"2024-048633432-001",2024,10,29,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-29"
"2024-048620615-001",2024,10,29,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-29"
"2024-048594199-001",2024,10,29,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO DIOGO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-29"
"2024-048573544-001",2024,10,29,"15 RPM","19 BPM","155 CIA PM",PM,PESCADOR,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-29"
"2024-048557134-001",2024,10,23,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,RESIDENCIAL LARANJEIRAS,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-23"
"2024-048531910-001",2024,10,28,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,,FURTO,1.0,SOLICITANTE,1,0,0,"2024-10-28"
"2024-048504209-001",2024,10,28,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,VARZEA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-28"
"2024-048474780-001",2024,10,28,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,,FURTO,1.0,SOLICITANTE,0,0,0,"2024-10-28"
"2024-048474780-001",2024,10,28,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-28"
"2024-048439976-001",2024,10,27,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,PAMPULHINHA,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-10-27"
"2024-048405746-001",2024,10,27,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,SAO FRANCISCO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-27"
"2024-048405746-001",2024,10,27,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,SAO FRANCISCO,FURTO,2.0,SOLICITANTE,0,0,0,"2024-10-27"
